fecha,hora,nivel,mensaje
2026-01-08,10:35:15,INFO,  [13/23] por-amenaza-de-incendios-forestales-2026-01-06-21-37-09
2026-01-08,10:35:19,INFO,  [14/23] region-del-biobio-por-calor-intenso-2026-01-05-13-32-55
2026-01-08,10:35:24,INFO,  [15/23] ucon-y-curarrehue-por-evento-masivo-2026-01-06-15-38-23
2026-01-08,10:35:28,INFO,  [16/23] -comuna-de-ovalle-por-evento-masivo-2026-01-06-12-21-29
2026-01-08,10:35:33,INFO,  [17/23] por-amenaza-de-incendios-forestales-2026-01-02-20-28-41
2026-01-08,10:35:38,INFO,  [21/23] cia-de-parinacota-ante-accidente-por-material-peligroso
2026-01-08,10:35:42,INFO,  [22/23] o-por-actividad-del-complejo-volcanico-planchon-peteroa
2026-01-08,10:35:47,INFO,  [23/23] e-por-actividad-del-complejo-volcanico-laguna-del-maule
2026-01-08,10:35:51,INFO,Total: 20
2026-01-08,10:40:54,INFO,Iniciando navegador...
2026-01-08,10:41:06,INFO,URLs: 23
2026-01-08,10:41:06,INFO,  [1/23] combarbala-por-tormentas-electricas-2026-01-05-13-11-26
2026-01-08,10:41:10,INFO,  [2/23] -de-lonquimay-por-incendio-forestal-2026-01-07-23-43-20
2026-01-08,10:41:15,INFO,  [3/23] por-amenaza-de-incendios-forestales-2026-01-07-22-28-18
2026-01-08,10:41:20,INFO,  [4/23] e-ohiggins-por-evento-meteorologico-2026-01-06-13-25-32
2026-01-08,10:41:24,INFO,  [5/23] o-y-parral-por-evento-meteorologico-2026-01-06-15-53-17
2026-01-08,10:41:29,INFO,  [6/23] -los-andes-por-evento-meteorologico-2026-01-07-13-49-35
2026-01-08,10:41:33,INFO,  [7/23] por-amenaza-de-incendios-forestales-2026-01-07-17-22-54
2026-01-08,10:41:38,INFO,  [8/23] a-y-colina-por-evento-meteorologico-2026-01-07-13-25-47
2026-01-08,10:41:43,INFO,  [9/23] -region-del-maule-por-calor-extremo-2026-01-06-16-09-49
2026-01-08,10:41:47,INFO,  [10/23] -camarones-por-evento-meteorologico-2026-01-07-12-50-00
2026-01-08,10:41:52,INFO,  [11/23] salamanca-por-incendio-de-vertedero-2026-01-07-09-26-59
2026-01-08,10:41:57,INFO,  [12/23] la-region-de-uble-por-calor-extremo-2026-01-07-09-08-06
2026-01-08,10:42:01,INFO,  [13/23] por-amenaza-de-incendios-forestales-2026-01-06-21-37-09
2026-01-08,10:42:06,INFO,  [14/23] region-del-biobio-por-calor-intenso-2026-01-05-13-32-55
2026-01-08,10:42:10,INFO,  [15/23] ucon-y-curarrehue-por-evento-masivo-2026-01-06-15-38-23
2026-01-08,10:42:15,INFO,  [16/23] -comuna-de-ovalle-por-evento-masivo-2026-01-06-12-21-29
2026-01-08,10:42:20,INFO,  [17/23] por-amenaza-de-incendios-forestales-2026-01-02-20-28-41
2026-01-08,10:42:24,INFO,  [21/23] cia-de-parinacota-ante-accidente-por-material-peligroso
2026-01-08,10:42:29,INFO,  [22/23] o-por-actividad-del-complejo-volcanico-planchon-peteroa
